نوع,فارسی در متن,لاتین / انگلیسی
شخص,آبراموویتز,Abramowitz
شخص,آچلی,Atchley
شخص,آدلر,Adler
شخص,آسموندسون,Asmundson
شخص,آیزاکوویتز,Isaacowitz
سازمان,انجمن روان‌پزشکی آمریکا,American Psychiatric Association (APA)
سازمان,انجمن روان‌شناسی آمریکا,American Psychological Association (APA)
شخص,اتچیسون,Atchison
شخص,اریکسون,Erikson
شخص,استاوروا,Stavrova
شخص,استرنبرگ,Sternberg
شخص,استوارت,Stuart
شخص,انگل,Engel
شخص,ایوراچ,Iverach
شخص,ایشیک,Işık
مفهوم,اینفلامجینگ,Inflammaging
مفهوم,اثر مثبت‌نگری,positivity effect
شخص,برادوک,Braddock
شخص,بک,Beck
شخص,بالبی,Bowlby
شخص,بولمایر,Bohlmeijer
مقیاس,پرسشنامه اضطراب سلامتی,Health Anxiety Inventory (HAI)
مقیاس,پرسشنامه اضطراب مرگ,Death Anxiety Scale (DAS)
شخص,پاپالیا,Papalia
شخص,پاول,Powell
شخص,پورهیت,Purohit
شخص,پینتو,Pinto
شخص,پیشزچینسکی,Pyszczynski
شخص,تامر,Tomer
شخص,توبین,Tobin
شخص,تورسون,Thorson
شخص,تمپلر,Templer
شخص,تیلور,Taylor
شخص,جیمز,William James
شخص,جین,Jain
مفهوم,ژرونتولوژی,Gerontology
شخص,داود,Dowd
شخص,داینر,Diener
شخص,دسی,Deci
شخص,دی‌سیکو,DeCicco
شخص,رایان,Ryan
شخص,رید,Reed
شخص,ریف,Ryff
شخص,زنگ,Zeng
شخص,زوهار,Zohar
شخص,سالکوویس / سالکوسکیس,Salkovskis
شخص,سالووی,Salovey
سازمان,سازمان جهانی بهداشت,World Health Organization (WHO)
سازمان,سازمان ملل متحد,United Nations (UN)
شخص,سوتو,Soto
شخص,سعاد,Mat Saad
شخص,شی,Schaie
شخص,فرانچسکی,Franceschi
شخص,فرانکل,Frankl
شخص,فرگوس,Fergus
شخص,فرنس,Franz
شخص,فروید,Freud
شخص,فلوریان,Florian
شخص,فولپ,Fülöp
شخص,کارستنسن,Carstensen
شخص,کاپلان,Kaplan
شخص,کامپیزی,Campisi
شخص,کامینگ,Cumming
شخص,کان,Kahn
شخص,کرجسی,Krejcie
شخص,کینگ,King
شخص,کونیگ,Koenig
شخص,کیز,Keyes
شخص,کیکاس,Kikas
شخص,کیونیو,Kivnick
شخص,گلادیشف,Gladyshev
شخص,گرینبرگ,Greenberg
شخص,گولد,Gould
شخص,لوپز-اوتین,López-Otín
شخص,لوین,Levin
شخص,لوینسون,Levinson
شخص,لیو,Liu
شخص,مارشال,Marshall
شخص,مارتین,Martin
شخص,مارتورل,Martorell
شخص,مازلو,Maslow
شخص,مایر,Mayer
شخص,مایکلز,Mikels
شخص,مک‌آدامز,McAdams
شخص,منزیس,Menzies
شخص,مورگان,Morgan
شخص,موریرا-آلمیدا,Moreira-Almeida
شخص,میکولینسر,Mikulincer
سازمان,مؤسسه ملی سالمندی,National Institute on Aging (NIA)
نظریه,نظریه ایمنی,Immunological Theory
نظریه,نظریه انتخاب اجتماعی-هیجانی,Socioemotional Selectivity Theory
نظریه,نظریه تداوم,Continuity Theory
نظریه,نظریه فعالیت,Activity Theory
نظریه,نظریه مدیریت وحشت,Terror Management Theory
نظریه,نظریه مدیریت معنا,Meaning Management Theory
نظریه,نظریه عدم تعهد,Disengagement Theory
شخص,نیمیر,Neimeyer
شخص,نیوگارتن,Neugarten
شخص,نیکولاس,Nikolich-Žugich
شخص,نوردگرن,Nordgren
شخص,نویز,Noyes
شخص,ون بروگن,van Bruggen
شخص,وسترهاف,Westerhof
شخص,وارویک,Warwick
شخص,والنتاینر,Valentiner
شخص,وانگ,Wang
شخص,وانگ (Wong),Wong
شخص,هالدورسون,Halldórsson
شخص,هاردینگ,Harding
شخص,هاویگهرست,Havighurst
شخص,هایگ,Haigh
شخص,هوانگ,Huang
شخص,هنری,Henry
شخص,یالوم,Yalom
شخص,یانکر,Yonker
شخص,یونگ,Jung
شخص,چالن,Chlan
شخص,چان,Chan
شخص,چارلز,Charles
شخص,چاریکچی‌اوزگول,Çarıkçı-Özgül
شخص,چن,Chen
شخص,ژائو,Zhao
شخص,الیاسون,Eliason
شخص,رو,Rowe
مقیاس,DSM-5,Diagnostic and Statistical Manual of Mental Disorders
